"","waste","PIBcapta","Escolaridade","cluster"
"Malta",2.49550206982166,0.609174467949726,0.561295905861934,2
"Marshall Islands",-0.327888140707517,-0.620819839046784,0.480422905732683,3
"Mauritania",0.93729029797528,-0.721559411136749,-1.59797232029994,4
"Mauritius",0.610749563744685,-0.435876141747155,-0.255701622409108,2
"Mexico",0.63574887308031,-0.446722236566558,-0.232395683299813,2
"Mongolia",-0.229589801486327,-0.625916467710001,0.122058008460509,1
"Montenegro",0.0467484602666588,-0.475763781376301,0.605264432178411,3
"Mozambique",1.10170375519048,-0.773581693281438,-1.98847227046894,4
"Myanmar",0.235021874700353,-0.738603778712017,-0.923355825386785,1
"Nepal",-0.173503952898219,-0.745096419491547,-1.81282210767797,4
"Netherlands",-1.69029043778704,1.42097205355024,0.874954166573927,5
"New Zealand",-1.10745856963899,1.0324980716687,1.22072480903576,5
"Niger",1.10170375519048,-0.768650795361469,-2.39899724673423,4
"North Macedonia",0.0467484602666588,-0.547937651996336,0.276385697910828,3
"Norway",-0.164330637544878,1.98271809260112,1.06913241695721,6
"Oman",0.669226109001945,-0.277276988063522,0.114231270882036,2
"Pakistan",-0.437786574486472,-0.743771485356089,-1.38850156540495,1
"Palau",-0.170141310403114,-0.187726285485595,1.08225775018476,3
"Panama",-0.422855267127348,-0.283080417982277,0.17680779007661,3
"Paraguay",-0.501728682279549,-0.586808463007929,-0.283477974234244,1
"Peru",-0.501728682279549,-0.536474674763415,-0.0629220112054546,1
"Philippines",0.235021874700353,-0.655316214126813,-0.146961369538996,1
"Poland",-1.3755453335725,-0.138046401908817,1.0701123445278,5
"Portugal",0.125621875418861,0.137863486512135,-0.142380374016472,3
"Puerto Rico",-0.422855267127348,0.703820511418791,0.945585000127877,3
"Qatar",0.669226109001945,1.31645295099732,-0.00650630821763898,6
"Republic of Korea",-0.556130535716921,0.533492177559845,0.790106274046614,3
"Republic of Moldova",-0.311013751085957,-0.669645875955706,0.736201468577044,3
"Romania",-0.637554485316552,-0.25571179508525,0.513979664526838,3
"Russian Federation",-2.57113374314766,-0.370370720577489,0.957207510736945,5
"Rwanda",4.36917406412942,-0.75910503571197,-1.64748091346797,4
"Saint Lucia",-0.501728682279549,-0.426841381577861,-0.28605326942984,1
"Saudi Arabia",1.21751073711885,0.0423076478592938,0.32920981653,2
"Senegal",0.93729029797528,-0.731705267595121,-2.07914924370645,4
"Serbia",0.0467484602666588,-0.474519959951058,0.474416955463511,3
