"","waste","PIBcapta","Escolaridade"
"Albania",82.7837733707058,5180.914198,9.913405
"Andorra",84.2723803156744,37072.405384,10.5914733333333
"Angola",99.5912966894316,1895.770703,3.99069
"Argentina",72.4321627300952,8475.729582,10.85475625
"Armenia",93.0434158099813,4266.005479,11.3211625
"Aruba",73.9207696750638,23385.638671,8.36316
"Australia",101.697810824663,55822.712845,12.3262818181818
"Austria",39,48105.631983,11.9541288888889
"Azerbaijan",93.0434158099813,4202.232239,10.501874
"Bahamas",73.9207696750638,25194.289197,11.86261
"Bahrain",131.709160029449,19925.001599,9.70709
"Bangladesh",65.124075,2000.640157,5.944527
"Belarus",68.3800654973451,6377.055432,12.14358
"Belgium",49.9195118269231,45028.323405,11.7841144444444
"Belize",52.6738888071775,3987.726394,9.66691
"Bermuda",73.6888796468385,123944.906901,11.693595
"Bhutan",78.6268686487453,3217.962935,3.13788
"Bosnia and Herzegovina",82.7837733707058,6035.475569,8.98240857142857
"Brazil",59.5988538681948,6796.844058,7.42647
"Brunei Darussalam",80.1742034400177,27436.741515,11.56127
"Bulgaria",68.3800654973451,10058.077407,11.0593755555556
"Burkina Faso",102.694332278604,830.925337,1.602925
"Burundi",102.694332278604,285.875782,2.41522
"Cabo Verde",99.5912966894316,3064.276546,5.85897
"Cambodia",86.3371266994304,1512.728288,3.63628
"Cameroon",99.5912966894316,1502.328062,5.20321
"Canada",78.5416213234687,43559.710092,13.64734
"Cayman Islands",73.9207696750638,95190.932506,13.41664
"Chile",73.9207696750638,13231.709642,10.050392
"China",63.9191341806214,10429.630529,6.72648
"Colombia",70.431888,5332.77279,8.064383
"Costa Rica",72.4321627300952,12076.805961,8.55256375
"Croatia",84.2723803156744,13934.241955,11.14391
"Cuba",72.4321627300952,9477.852873,11.49943
"Cyprus",94.5320227549499,28133.071159,11.9181333333333
"Czechia",69.8686724423137,22910.628937,12.6305122222222
"Denmark",81.3335275543848,61476.596929,12.7054766666667
"Dominican Republic",72.4321627300952,7268.188603,7.7041
"Ecuador",72.4321627300952,5600.39152,8.38680555555556
"Egypt",91.0161795549311,3608.842256,9.04571
"El Salvador",80.0836929344765,3798.634701,6.644455
"Estonia",77.5071633237822,23105.523391,13.492001
"Ethiopia",92.14271325,840.36193,2.17183
"Fiji",75.7131191461685,5013.230983,10.63036
"Finland",65.4236888217853,48685.245393,12.59448125
"France",84.7901718114586,38958.603419,11.1751622222222
"Gambia",102.694332278604,757.412441,5.2948
"Georgia",100.974,3983.689756,12.725158
"Germany",75,45908.724713,14.01232125
